#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-04-04T15:39:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ac4ee9a2255	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+AS/130/65&tab:{J/A+AS/130/65/lcb98cor}&key:source=J/A+AS/130/65/lcb98cor&HTTPPRM:&
#-source=J/A+AS/130/65/lcb98cor
#-order=I
#-out=Teff
#-out=logg
#-out=[Fe/H]
#-out=U-B
#-out=B-V
#-out=V-R
#-out=V-I
#-out=V-K
#-out=R-I
#-out=J-H
#-out=H-K
#-out=J-K
#

#RESOURCE=yCat_41300065
#Name: J/A+AS/130/65
#Title: A standard stellar library. II. (Lejeune+ 1998)
#Table	J_A_AS_130_65_lcb98cor:
#Name: J/A+AS/130/65/lcb98cor
#Title: All files lcb98*.cor: Synthetic colors from corrected Stellar Energy Distributions (SEDS)
#Column	Teff	(F6)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F6.2)	Surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]	(F4.1)	Metallicity	[ucd=phys.abund.Fe]
#Column	U-B	(F7.3)	(U-B) colour (energy-weighted)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F7.3)	(B-V) colour (energy-weighted)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-R	(F7.3)	(V-R) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-I	(F7.3)	(V-I) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	V-K	(F7.3)	(V-K) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	R-I	(F7.3)	(R-I) colour (energy-weighted)	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	J-H	(F7.3)	(J-H) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.H]
#Column	H-K	(F7.3)	(H-K) colour (energy-weighted)	[ucd=phot.color;em.IR.H;em.IR.K]
#Column	J-K	(F7.3)	(J-K) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.K]
Teff;logg;[Fe/H];U-B;B-V;V-R;V-I;V-K;R-I;J-H;H-K;J-K
K; ;[Sun];mag;mag;mag;mag;mag;mag;mag;mag;mag
------;------;----;-------;-------;-------;-------;-------;-------;-------;-------;-------
  2000;  4.00;-0.1;  2.058;  3.454;  3.341;  6.111; 11.481;  2.770;  1.024;  0.813;  1.837
  2000;  4.50;-0.1;  1.993;  3.475;  3.349;  6.149; 11.475;  2.801;  1.052;  0.778;  1.830
  2000;  5.00;-0.1;  1.938;  3.493;  3.361;  6.197; 11.452;  2.836;  1.075;  0.738;  1.813
  2000;  5.50;-0.1;  2.132;  3.671;  3.148;  5.938; 10.868;  2.790;  1.089;  0.662;  1.751
  2200;  3.50;-0.1;  2.300;  3.164;  2.687;  5.227;  9.732;  2.540;  0.706;  0.687;  1.394
  2200;  4.50;-0.1;  2.196;  3.271;  2.682;  5.253;  9.721;  2.571;  0.764;  0.663;  1.427
  2200;  5.50;-0.1;  2.036;  3.306;  2.689;  5.319;  9.622;  2.630;  0.811;  0.572;  1.382
  2500; -1.02;-0.1; -0.245;  1.433;  2.211;  4.663;  9.530;  2.452;  0.985;  0.448;  1.433
  2500; -0.70;-0.1; -0.245;  1.419;  2.063;  4.471;  9.087;  2.408;  0.959;  0.399;  1.358
  2500; -0.29;-0.1; -0.245;  1.401;  1.806;  4.131;  8.574;  2.325;  0.938;  0.348;  1.286
  2500;  5.50;-0.1;  1.942;  2.539;  2.187;  4.529;  8.119;  2.342;  0.677;  0.415;  1.092
  2800; -1.02;-0.1;  0.057;  1.464;  2.093;  4.504;  9.213;  2.411;  0.984;  0.454;  1.438
  2800; -0.70;-0.1;  0.057;  1.456;  1.990;  4.361;  8.826;  2.370;  0.987;  0.412;  1.399
  2800; -0.29;-0.1;  0.057;  1.447;  1.863;  4.176;  8.327;  2.313;  0.992;  0.358;  1.350
  2800;  3.50;-0.1;  1.849;  2.141;  1.846;  3.771;  7.019;  1.925;  0.557;  0.356;  0.913
  2800;  4.00;-0.1;  1.881;  2.151;  1.814;  3.735;  6.850;  1.921;  0.570;  0.390;  0.960
  2800;  4.50;-0.1;  1.759;  1.966;  1.836;  3.864;  6.987;  2.028;  0.581;  0.375;  0.955
  2800;  5.00;-0.1;  1.721;  1.968;  1.833;  3.880;  6.958;  2.048;  0.603;  0.371;  0.974
  3000; -0.70;-0.1;  0.363;  1.420;  1.913;  4.304;  8.787;  2.391;  0.970;  0.422;  1.392
