# Name, Nmeasurements, time-span (days), mean logRhk, median logRhk, sig_Rhk_raw, sig_Rhk_short-term, Pcycle, gamma, A, Prot (days), Age (Gyr)
HD1461	164	2652	-4.996	-4.998	0.0291	0.0215	3754 850675	-4.993	0.0351	29.0  3.3	5.12  0.59
HD1581	127	2625	-4.954	-4.954	0.0099	0.0084	1018 5417	-4.953	0.0099	16.7  2.6	2.92  0.34
HD4915	40	1822	-4.818	-4.812	0.1287	0.0483	1863 1291151	-4.820	0.1804	21.3  3.2	3.07  0.35
HD7199	87	2633	-4.938	-4.978	0.2255	0.0688	2760 431169	-4.916	0.2620	41.4  4.7	6.38  0.74
HD8828	46	2224	-5.014	-5.012	0.0212	0.0144	2163 320304	-5.024	0.0383	38.8  3.8	7.05  0.81
HD9246	18	2092	-4.858	-4.863	0.0984	0.0430	2747 534807	-4.883	0.1998	39.8  4.7	5.85  0.67
HD10180	218	2601	-4.996	-4.995	0.0270	0.0223	2737 431148	-4.999	0.0216	24.1  3.0	4.28  0.49
HD13060	63	2581	-4.830	-4.828	0.1923	0.0844	5508 4092	-4.766	0.5957	29.8  4.3	3.90  0.45
HD13724	28	2134	-4.736	-4.731	0.1117	0.0637	2393 3193035	-4.759	0.1582	19.9  3.3	2.63  0.30
HD13808	128	2601	-4.910	-4.954	0.2397	0.0704	3715 850672	-4.883	0.2688	40.2  4.8	5.87  0.68
HD15337	43	2258	-4.905	-4.916	0.1004	0.0617	1111 73296	-4.902	0.1185	41.8  4.9	6.20  0.71
HD20003	98	2596	-4.969	-4.994	0.1156	0.0292	3149 546124	-4.934	0.1711	37.1  4.1	6.08  0.70
HD20807	38	2309	-4.905	-4.906	0.0393	0.0266	1133 165090	-4.905	0.0495	17.7  2.8	2.87  0.33
HD20619	26	2138	-4.829	-4.817	0.1071	0.0553	1687 118541	-4.846	0.1438	22.3  3.2	3.32  0.38
HD20794	197	2694	-5.025	-5.025	0.0093	0.0078	751 22590	-5.025	0.0065	35.4  3.6	6.45  0.74
HD20781	95	2648	-5.045	-5.046	0.0199	0.0160	8000 4249	-5.080	0.0848	49.5  4.4	9.19  1.06
HD20782	51	2687	-4.924	-4.930	0.0410	0.0297	1150 6558	-4.920	0.0474	21.6  3.0	3.52  0.41
HD21749	52	2225	-4.721	-4.719	0.1896	0.1060	2164 229395	-4.733	0.2037	34.5  6.8	3.32  0.38
HD21693	124	2700	-4.920	-4.892	0.1562	0.0512	2483 322526	-4.935	0.2094	36.3  4.0	5.98  0.69
HD26965A	16	2163	-4.993	-4.992	0.0856	0.0121	3352 850453	-4.958	0.1585	42.2  4.4	6.95  0.80
HD27063	40	1576	-4.749	-4.750	0.0774	0.0528	1316 115234	-4.749	0.0903	19.5  3.3	2.54  0.29
HD34688	17	2714	-4.924	-4.948	0.1834	0.0275	2026 210782	-4.932	0.2842	41.3  4.5	6.57  0.76
HD39194	133	2718	-5.026	-5.025	0.0269	0.0170	8000 2151	-5.032	0.0424	41.4  4.0	7.54  0.87
HD38858	51	2965	-4.948	-4.948	0.0184	0.0139	3406 547208	-4.945	0.0208	23.6  3.1	3.95  0.45
HD40307	183	2720	-4.995	-5.021	0.1252	0.0373	3804 850666	-4.957	0.1894	47.2  5.3	7.08  0.81
HD45184	81	2739	-4.896	-4.895	0.0728	0.0406	1595 112058	-4.913	0.0979	21.4  3.0	3.45  0.40
HD45364	64	2697	-4.978	-4.979	0.0448	0.0353	8000 6958	-4.970	0.0717	34.0  3.7	5.86  0.67
HD51608	116	2698	-4.986	-4.986	0.0408	0.0346	2481 322526	-4.981	0.0317	39.6  4.1	6.84  0.79
HD55693	22	3006	-4.963	-4.958	0.0451	0.0200	2403 226168	-4.981	0.0773	27.4  3.2	4.76  0.55
HD59468	141	2755	-4.993	-4.991	0.0251	0.0178	8000 2131	-5.000	0.0361	31.8  3.5	5.66  0.65
HD63765	48	2303	-4.760	-4.763	0.1537	0.1138	2219 3100415	-4.772	0.2275	26.2  3.8	3.52  0.41
HD65907A	62	2609	-4.948	-4.950	0.0209	0.0139	8000 2216	-4.923	0.0779	14.9  2.6	2.57  0.30
HD65277	15	2703	-5.039	-5.058	0.0833	0.0171	3791 2506548	-5.037	0.0949	54.9  6.2	8.05  0.93
HD67458	25	3009	-4.927	-4.926	0.0544	0.0177	8000 3194	-4.881	0.1910	17.1  2.8	2.69  0.31
HD68607	40	1210	-4.722	-4.713	0.1623	0.1069	863 130	-4.725	0.1495	29.9  4.7	3.54  0.41
HD68978A	61	2340	-4.875	-4.876	0.0459	0.0364	1021 53810	-4.867	0.0566	18.8  2.9	2.88  0.33
HD69830	205	2747	-4.986	-4.996	0.0565	0.0217	5865 1235	-4.944	0.1439	35.8  3.9	5.98  0.69
HD71479	16	2355	-5.015	-5.016	0.0382	0.0149	1525 1191493	-4.997	0.0798	26.6  3.2	4.72  0.54
HD71835	72	2698	-4.898	-4.907	0.1052	0.0588	3222 546158	-4.923	0.1803	36.5  4.1	5.91  0.68
HD72673	65	2464	-4.968	-4.961	0.0668	0.0233	3050 545088	-4.975	0.0910	40.2  4.1	6.86  0.79
HD73121	20	2709	-5.048	-5.048	0.0219	0.0121	1581 3100821	-5.057	0.0343	19.2  2.6	3.72  0.43
HD73524	60	2694	-4.981	-4.981	0.0385	0.0197	2801 938242	-4.981	0.0464	19.8  2.8	3.49  0.40
HD78747	43	2554	-4.991	-4.992	0.0167	0.0121	2389 321560	-4.994	0.0188	16.5  2.6	3.06  0.35
HD82342	31	3009	-5.012	-5.010	0.0753	0.0333	3434 547218	-4.999	0.1184	50.9  5.6	7.68  0.88
HD82516	56	2320	-4.954	-4.963	0.1222	0.0537	6065 4074	-4.802	0.5874	36.7  5.3	4.59  0.53
HD85390	65	2689	-4.969	-4.967	0.0631	0.0401	2476 322525	-4.973	0.0790	44.9  4.7	7.37  0.85
HD85512	175	2705	-4.936	-4.937	0.1143	0.0317	3793 850666	-4.956	0.2035	50.9  7.0	6.41  0.74
HD86140	17	2690	-4.838	-4.844	0.1002	0.0506	2798 4114827	-4.831	0.1836	39.0  5.4	4.98  0.57
HD86065	24	3008	-4.872	-4.877	0.1245	0.0621	891 132780	-4.856	0.1275	40.7  5.4	5.37  0.62
HD89454	48	1468	-4.685	-4.688	0.1353	0.0906	1573 537353	-4.695	0.1606	21.1  3.7	2.51  0.29
HD90156	79	2665	-4.973	-4.973	0.0131	0.0111	1279 8712	-4.973	0.0092	27.0  3.2	4.67  0.54
HD90711	18	2306	-4.974	-4.972	0.0837	0.0269	2925 545010	-4.984	0.1180	43.1  4.4	7.33  0.84
HD90812	22	2307	-4.981	-4.994	0.1170	0.0286	8000 2419	-4.831	0.5507	34.1  4.4	4.85  0.56
HD93083	66	2279	-4.941	-4.933	0.1627	0.0443	3453 850560	-4.942	0.2273	46.2  5.3	6.81  0.78
HD94151	20	2703	-4.960	-4.981	0.0915	0.0233	3792 850666	-4.951	0.1561	33.1  3.7	5.58  0.64
HD96700	152	3011	-4.967	-4.968	0.0199	0.0178	830 27	-4.965	0.0141	20.6  2.9	3.55  0.41
HD98281	53	2227	-4.914	-4.911	0.0670	0.0487	2861 1339654	-4.938	0.1120	33.5  3.8	5.57  0.64
HD100508	32	2284	-5.001	-5.008	0.0776	0.0297	8000 3735	-4.903	0.3236	39.5  4.5	6.09  0.70
