# Name, Nmeasurements, time-span (days), mean logRhk, median logRhk, sig_Rhk_raw, sig_Rhk_short-term, A, Prob, Prot (days), Age (Gyr)
HD224789	32	1328	-4.436	-4.438	0.1638	0.1460	0.5968	0.000	11.8  4.7	0.68  0.08
HD55	10	1311	-4.893	-4.891	0.0965	0.0283	0.6010	0.000	45.2  6.4	5.59  0.64
HD361	16	2134	-4.712	-4.702	0.1259	0.0878	0.5226	0.000	14.1  2.9	1.73  0.20
HD967	38	2556	-4.987	-4.986	0.0218	0.0192	0.0468	0.833	26.3  3.2	4.60  0.53
HD1320	6	2510	-4.904	-4.879	0.0710	0.0201	0.6010	0.000	23.4  3.2	3.74  0.43
HD1388	57	2647	-4.979	-4.979	0.0160	0.0146	0.0517	0.917	19.7  2.8	3.47  0.40
HD3569	7	2081	-4.938	-4.965	0.1808	0.0430	0.6010	0.000	42.7  4.7	6.75  0.78
HD3823	33	2266	-5.017	-5.015	0.0135	0.0118	0.0375	1.000	15.8  2.5	3.08  0.35
HD4308	63	2178	-4.999	-4.997	0.0230	0.0190	0.0364	1.000	28.0  3.2	4.96  0.57
HD4307	31	1856	-5.069	-5.068	0.0147	0.0139	0.0443	0.917	22.2  2.8	4.26  0.49
HD6348	8	2559	-4.983	-4.990	0.0389	0.0236	0.5749	0.000	42.3  4.3	7.22  0.83
HD6673	9	1142	-4.818	-4.815	0.0804	0.0292	0.6010	0.000	37.7  5.3	4.82  0.56
HD6735	9	2560	-4.890	-4.891	0.0260	0.0134	0.3863	0.000	14.2  2.6	2.35  0.27
HD7134	16	1767	-4.980	-4.980	0.0133	0.0086	0.0637	0.750	18.6  2.7	3.29  0.38
HD7449	82	2633	-4.860	-4.861	0.0477	0.0407	0.0642	0.667	13.5  2.6	2.16  0.25
HD8638	35	1827	-4.996	-4.996	0.0216	0.0165	0.0726	0.750	30.4  3.4	5.39  0.62
HD9796	12	2112	-4.920	-4.919	0.0658	0.0239	0.4264	0.000	37.1  4.1	5.98  0.69
HD9782	27	2217	-4.964	-4.963	0.0179	0.0173	0.1053	0.000	18.1  2.7	3.16  0.36
HD10002	8	2088	-5.051	-5.049	0.0230	0.0117	0.6010	0.000	48.5  4.5	8.72  1.00
HD10700	153	2650	-5.017	-5.017	0.0089	0.0084	0.0086	1.000	37.4  3.8	6.75  0.78
HD11226	28	1766	-4.998	-4.998	0.0114	0.0108	0.0597	0.750	16.6  2.6	3.09  0.36
HD11505	12	1392	-5.024	-5.026	0.0136	0.0123	0.1396	0.000	26.3  3.1	4.78  0.55
HD11964A	60	2514	-5.154	-5.154	0.0152	0.0135	0.0184	1.000	53.9  4.4	10.69  1.23
HD12387	14	1092	-5.017	-5.004	0.0544	0.0364	0.5131	0.000	27.4  3.2	4.94  0.57
HD12345	14	1729	-5.017	-5.013	0.0289	0.0168	0.1242	0.167	39.5  3.9	7.12  0.82
HD12617	12	1544	-4.694	-4.717	0.2616	0.1161	0.6010	0.000	30.7  5.9	3.00  0.35
HD14374	17	1805	-4.660	-4.671	0.1760	0.1314	0.6010	0.000	20.6  3.8	2.31  0.27
HD14747	12	2092	-5.004	-5.001	0.0275	0.0246	0.2822	0.000	30.8  3.4	5.48  0.63
HD16297	10	2052	-4.705	-4.710	0.1561	0.0754	0.6000	0.000	24.7  4.1	2.96  0.34
