#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-11-04T20:08:14 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ59fe1ad81195	
#INFO	-out.max=unlimited	
#INFO	queryParameters=10	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/A+A/397/147/table1
#-nav=cat:J/A+A/397/147&tab:{J/A+A/397/147/table1}&key:source=J/A+A/397/147/table1&HTTPPRM:&&-ref=VIZ59fe1ad81195&-out.max=unlimited&-out.form=ascii table&-oc.form=sexa&-order=I&-out=B-V&-out=Per&-out=Mass&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/397/147/table1
#-source=J/A+A/397/147/table1
#-order=I
#-out=B-V
#-out=Per
#-out=Mass
#

#RESOURCE=yCat_33970147
#Name: J/A+A/397/147
#Title: Activity-rotation relationship in stars (Pizzolato+ 2003)
#Table	J_A_A_397_147_table1:
#Name: J/A+A/397/147/table1
#Title: Field dwarf sample
#Column	B-V	(F5.2)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Per	(F5.2)	Period	[ucd=time.period]
#Column	Mass	(F5.2)	Mass	[ucd=phys.mass]
B-V	Per	Mass
mag	d	solMass
-----	-----	-----
 0.66	25.38	 1.09
 1.37	 7.98	 0.82
 1.80	 0.52	 0.31
 1.68	 0.50	 0.42
 1.57	 0.28	 0.48
 1.67	 2.11	 0.41
 1.37	 1.86	 0.84
 1.72	 0.52	 0.45
 1.71	 0.39	 0.39
 1.59	 2.78	 0.44
 1.42	10.17	 0.75
 1.36	11.67	 0.79
 1.54	 2.60	 0.55
 1.42	 3.17	 0.69
 1.75	 0.21	 0.33
 1.44	 1.54	 0.68
 1.90	42.00	 0.22
 1.36	11.94	 0.79
 1.45	18.60	 0.71
 1.65	 0.32	 0.36
 1.62	 0.41	 0.51
 1.60	 4.38	 0.50
 1.48	 1.60	 0.71
 1.41	 0.43	 0.73
 1.65	 0.20	 0.36
 1.77	 0.65	 0.31
 1.88	 0.87	 0.26
 0.66	 7.70	 1.08
 1.83	 0.22	 0.30
 0.85	48.00	 1.00
 0.88	38.00	 0.93
 0.88	30.00	 0.95
 0.86	39.00	 0.95
 0.84	35.20	 0.98
 0.72	34.50	 1.00
 1.43	15.80	 0.75
 0.82	30.00	 0.97
 0.60	 9.00	 1.22
 0.97	45.00	 0.92
 0.52	 7.40	 1.15
 0.56	 7.90	 1.15
 0.87	 6.60	 0.98
 0.68	 9.40	 1.07
 0.88	11.30	 0.95
 0.52	 3.00	 1.18
 0.70	 7.20	 1.03
 0.82	37.10	 0.98
 0.64	 7.60	 1.08
 1.06	47.40	 0.92
 0.53	 5.00	 1.15
 0.78	11.20	 1.01
 0.83	 0.51	 0.99
 0.94	17.30	 0.93
 0.59	 5.20	 1.10
 0.66	 7.80	 1.04
 0.72	32.00	 1.06
 0.90	26.00	 0.98
 0.81	16.40	 1.02
 0.62	 4.10	 1.08
 0.52	 4.00	 1.17
 0.67	15.00	 1.08
 0.60	 9.70	 1.12
 0.64	40.20	 1.29
 1.00	13.30	 0.91
 0.91	 1.70	 0.93
 0.77	18.60	 1.05
 1.47	 2.94	 0.71
 1.51	48.00	 0.60
 0.60	 7.60	 1.09
 1.36	11.60	 0.79
 0.74	16.00	 1.03
 0.91	 1.80	 1.02
 0.70	33.00	 1.24
 0.58	12.40	 1.12
 0.58	 3.30	 1.17
 0.92	19.00	 0.94
 1.18	 3.96	 0.81
 0.71	29.00	 1.13
 0.88	42.00	 1.00
 0.72	 6.20	 1.01
 1.11	44.60	 0.89
 0.54	16.00	 1.27
 0.60	18.00	 1.16
 0.62	 8.50	 1.08
 0.55	13.00	 1.12
 0.81	23.00	 0.99
 0.75	11.10	 1.02
 0.58	 7.60	 1.12
 0.86	21.11	 0.93
 0.85	20.69	 0.91
 1.16	18.00	 0.85
 0.96	36.00	 0.94
 0.62	 5.90	 1.09
 0.86	19.70	 1.02
 0.87	42.00	 0.96
 0.59	16.00	 1.13
 0.79	29.00	 0.98
 0.55	10.00	 1.20
 1.12	29.30	 0.89
 0.61	14.50	 1.11
 0.87	45.00	 0.93
 0.51	 7.00	 1.16
 1.44	 4.85	 0.75
 1.17	37.90	 0.84
 1.37	48.00	 0.78
 0.58	 4.70	 1.10
 1.06	22.00	 0.89
 1.10	10.30	 0.87
 0.91	42.00	 0.97
 0.67	33.00	 1.04

